Time,GeneralEvent,Forehead_Acc_X,Forehead_Acc_Y,Forehead_Acc_Z,Forehead_Gyr_X,Forehead_Gyr_Y,Forehead_Gyr_Z
2.72 sec,Standing,-0.724077,-9.490935,2.90251,0.132323,-1.984498,0.909881
2.73 sec,Standing,-0.662594,-9.479159,2.878572,0.141694,-2.028823,0.919373
2.74 sec,Standing,-0.597433,-9.466507,2.972485,0.157168,-2.061408,0.930114
2.75 sec,Standing,-0.542305,-9.384541,2.934416,0.170346,-2.098304,0.935865
2.76 sec,Standing,-0.411484,-9.353921,2.958886,0.177294,-2.120542,0.94594
2.77 sec,Standing,-0.234076,-9.296901,2.982493,0.184546,-2.131145,0.954635
2.78 sec,Standing,-0.106573,-9.230025,3.054621,0.184526,-2.132973,0.956895
2.79 sec,Standing,0.004267,-9.126228,3.062182,0.182791,-2.121165,0.950249
2.8 sec,Standing,0.07276,-9.08281,3.133046,0.170862,-2.103645,0.942874
2.81 sec,Standing,0.100429,-9.093099,3.087648,0.168611,-2.083718,0.927767
2.82 sec,Standing,0.092934,-9.043065,3.127525,0.156044,-2.063592,0.917777
2.83 sec,Standing,0.099322,-9.017686,3.112428,0.140197,-2.040738,0.909407
2.84 sec,Standing,0.228146,-9.053923,3.157446,0.126241,-2.021175,0.902152
2.85 sec,Standing,0.25259,-9.130302,3.184337,0.110132,-1.986154,0.898143
2.86 sec,Standing,0.25834,-9.125022,3.212735,0.097863,-1.955407,0.894311
2.87 sec,Standing,0.21692,-9.217223,3.256196,0.082464,-1.920249,0.890034
2.88 sec,Standing,0.141874,-9.343657,3.291159,0.081455,-1.898017,0.882817
2.89 sec,Standing,0.187544,-9.373732,3.304473,0.080992,-1.87676,0.873848
2.9 sec,Standing,0.23748,-9.421234,3.367767,0.084382,-1.848367,0.867594
2.91 sec,Standing,0.203121,-9.48151,3.399984,0.093046,-1.812854,0.853464
2.92 sec,Standing,0.30399,-9.507115,3.452475,0.112872,-1.777814,0.838526
2.93 sec,Standing,0.3263,-9.419132,3.538596,0.124474,-1.738067,0.822252
2.94 sec,Standing,0.379767,-9.423622,3.567595,0.132428,-1.690066,0.806277
2.95 sec,Standing,0.454823,-9.386948,3.651994,0.143762,-1.636892,0.792173
2.96 sec,Standing,0.464164,-9.340909,3.680539,0.158497,-1.574225,0.771902
2.97 sec,Standing,0.451611,-9.268713,3.710568,0.161757,-1.515264,0.757311
2.98 sec,Standing,0.37334,-9.231779,3.755254,0.174544,-1.461963,0.739448
2.99 sec,Standing,0.344635,-9.175797,3.82192,0.18821,-1.402436,0.721991
3 sec,Standing,0.265815,-9.093591,3.875229,0.202892,-1.354629,0.706021
3.01 sec,Standing,0.188245,-9.007593,3.896912,0.211939,-1.309873,0.691317
3.02 sec,Standing,0.162625,-8.943986,3.900337,0.216306,-1.26814,0.680188
3.03 sec,Standing,0.071039,-8.874945,3.994476,0.222272,-1.233681,0.665028
3.04 sec,Standing,0.049631,-8.811685,4.034523,0.225103,-1.198078,0.649865
3.05 sec,Standing,0.028009,-8.705867,4.077125,0.223376,-1.166613,0.631597
3.06 sec,Standing,0.02024,-8.614413,4.134911,0.216004,-1.136471,0.622048
3.07 sec,Standing,0.006961,-8.552464,4.208125,0.203005,-1.098473,0.603242
3.08 sec,Standing,0.000503,-8.502096,4.226798,0.184683,-1.065611,0.592314
3.09 sec,Standing,0.041414,-8.426703,4.309154,0.162934,-1.028906,0.575555
